pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,contBkgdKeys.rt,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['u', 'p']","[1.4597569999750704, 1.9713729999493808]","['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.7428194999229163, 0.9589480999857187, 1.071294599911198, 1.1510163999628276, 1.3748253998346627, 1.4471181998960674, 2.3028930998407304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.30134920007549226, 0.3892880999483168, 0.6213460001163185, 0.8052703998982906, 0.8613088000565767, 1.0052382999565452, 1.3573408001102507]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['e'],[2.5031716998200864],"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.3110323001164943, 0.3590158000588417, 0.5349644999951124, 0.7110713000874966, 0.7832635999657214, 1.0630789001006633, 1.3750924000050873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,murmur,cobble,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/export_TT_3X.mp4,cervix,export,None,,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.4354727000463754, 0.7313466998748481, 0.8514745999127626, 0.9952060000505298, 1.1956028998829424, 1.2913104998879135, 1.803044900065288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,novice,primal,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/entail_touch_edited.mp4,parcel,entail,None,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['n'], novice,"['n', 'o', 'v', 'i', 'c', 'e', 'return']","[0.34977749991230667, 0.6297977999784052, 0.7580224999692291, 0.8942424000706524, 1.0457232999615371, 1.1660752000752836, 1.6781921999063343]",[2.3447390999644995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,fodder,trench,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/ethnic_TT_3X.mp4,botany,ethnic,None,,,,,,,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fodder,"['f', 'o', 'd', 'd', 'e', 'r', 'return']","[0.3568369001150131, 0.5092283999547362, 0.628852800000459, 0.7649091000203043, 0.8931307001039386, 0.9728484000079334, 1.1410387000069022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,mirage,shrewd,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/revoke_touch_edited.mp4,malady,revoke,None,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mirage,"['m', 'i', 'r', 'a', 'g', 'e', 'return']","[0.2661199001595378, 0.5463443000335246, 0.6589717001188546, 0.6903095999732614, 0.9620710001327097, 1.0023623001761734, 1.1225195000879467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,infirm,oblige,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/mystic_touch_edited.mp4,pulpit,mystic,None,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, infirm,"['i', 'n', 'f', 'i', 'r', 'm', 'return']","[0.3895076001062989, 0.589862999971956, 0.7254042001441121, 0.8372398000210524, 0.9495213001500815, 1.0694727001246065, 1.245425899978727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,critic,binder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/tamper_touch_edited.mp4,confer,tamper,None,,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['c'], critic,"['c', 'r', 'i', 't', 'i', 'c', 'return']","[0.37984189996495843, 0.6597934998571873, 0.8040866998489946, 0.9317818998824805, 1.0198808000423014, 1.2117502999026328, 1.3961214998271316]",[2.358866599854082],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,brazen,fungal,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/mucous_TT_3X.mp4,subtle,mucous,None,,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, brazen,"['b', 'r', 'a', 'z', 'e', 'n', 'bracketright', 'backspace', 'return']","[0.2738087000325322, 0.3857398999389261, 0.46598699991591275, 0.6897664999123663, 0.9058052999898791, 1.0020595998503268, 1.2738139999564737, 1.817873999942094, 2.0421463998500258]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
